Datum,Strom,Gas
4.10.2016,7683,"1961,39"
9.10.2016,7703,"1961,39"
9.10.2016,7745,"1961,39"
29.10.2016,7778,"1961,39"
8.11.2016,7832,"1961,39"
12.11.2016,7849,1979
6.12.2016,7967,"2073,47"
1.1.2017,8100,"2213,45"
3.1.2017,8114,2224
9.1.2017,"8145,5","2274,2"
15.1.2017,"8171,5","2306,7"
16.1.2017,"8177,3","2312,5"
22.1.2017,"8207,8","2359,7"
13.02.2017,"8319,2",2490
23.02.2017,"8376,5","2533,5"
20.03.2017,"8489,4","2625,83"
31.03.2017,"8549,5","2658,05"
14.04.2017,"8606,4","2683,02"
18.05.2017,"8767,4","2777,76"
7.6.2017,"8863,3","2790,85"
10.07.2017,"9018,9","2811,32"
16.08.2017,"9184,4","2831,85"
25.08.2017,9231,"2836,8"
2.9.2017,"9268,6","2840,77"
10.09.2017,"9299,1","2858,295"
23.09.2017,"9359,4","2875,82"
9.10.2017,"9429,4","2899,47"
13.11.2017,"9616,9","3007,42"
25.12.2017,"9831,1","3258,62"
14.01.2018,"9955,9","3341,7"
7.2.2018,"10084,2","3449,95"
10.03.2018,"10257,7","3673,9"
10.04.2018,"10380,6","3782,1"
25.05.2018,10649,"3856,2"
9.6.2018,10717,"3865,4"
24.07.2018,10921,3891
1.9.2018,"11092,9","3910,37"
5.11.2018,"11392,27","4037,18"
25.11.2018,"11496,2","4118,38"
15.02.2019,"11962,8","4562,6"
25.02.2019,"12016,6","4601,8"
19.04.2019,"12333,9","4794,9"
01.06.2019,"12587,6","4912,9"
15.11.2019,13492,"5147,3"
30.11.2019,13587,5213
20.12.2019,13726,"5313,7"
29.02.2020,14163,"5635,9"
14.08.2020,15505,"5985,7"
23.10.2020,15782,"6100,73"
1.11.2020,"15844,31857","6122,5"
1.1.2021,"16266,7","6322,2"
14.1.2021,"16381,8","6508,34"
19.02.2021,"16675,3","6722,6"
25.05.2021,"17319,7","7099,312"
21.08.2021,"17775,1","7172,11"
18.12.2021,18466,"7598,04"
12.02.2022,18845,"7900,98"
10.09.2022,"19908,7","8315,77"
11.10.2022,"20105,4","8386,26"
15.10.2022,"20124,8","8392,13"
4.11.2022,"20230,9","8412,948"
16.11.2022,"20309,6","8444,997"
25.11.2022,"20372,6","8476,389"
9.12.2022,"20463,7","8532,038"
18.12.2022,"20528,5","8590,704"
26.12.2022,"20582,2","8624,5"
03.01.2023,"20639,6","8649,486"
29.01.2023,"20814,7","8755,712"
26.02.2023,"21004,6","8891,539"
18.03.2023,"21126,2","8981,98"
07.04.2023,"21255,5","9046,991"
15.04.2023,"21311,7","9077,598"
03.05.2023,"21417,6","9125,821"
14.06.2023,"21593,9","9165,83"
02.07.2023,"21680,6","9174,74"
27.10.2023,"22239,2","9254,536"
15.11.2023,"22387,5","9314,61"
12.02.2024,"22937,8","9720,048"
24.02.2024,"23021,1","9761,015"
12.05.2024,"23490,9","9966,36"
13.08.2024,"24046,3","10047,86"
17.12.2024,"24769,3","10373,449"
17.1.2025,"24987,2","10539,595"
25.01.2025,25031,"10587,888"
07.03.2025,25310,"10786,85"
30.04.2025,"25658,9","10961,84"
22.05.2025,"25815,5","11005,617"
