STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       3379;20231125;   10;  15.4;   5.5;    9;   2.5;   8;    1.200;   1;   7.1;   5.1;  947.30;    0.5;   81.00;    1.5;   -0.6;   -1.6;eor
       3379;20231126;   10;   8.3;   3.3;    9;   0.0;   8;    0.700;   3;   7.5;   5.5;  953.40;    1.1;   83.00;    2.4;   -0.4;   -1.4;eor
       3379;20231127;   10;   7.7;   2.4;    9;   9.5;   8;    2.600;   1;   7.5;   5.3;  944.00;    2.4;   74.00;    4.9;    0.8;   -0.3;eor
       3379;20231128;   10;  17.7;   4.9;    9;   6.7;   8;    0.000;   0;   7.8;   6.0;  937.50;    1.5;   88.00;    4.5;   -1.4;   -1.9;eor
       3379;20231129;   10;   8.8;   2.4;    9;   0.0;   7;    3.800;   3;   6.2;   4.6;  945.20;    0.1;   76.00;    3.3;   -2.2;   -4.8;eor
       3379;20231130;   10;   5.0;   1.4;    9;  17.9;   8;    0.000;   2;   6.9;   5.3;  939.90;    0.3;   85.00;    1.6;   -1.3;   -2.4;eor
       3379;20231201;   10;   3.8;   1.1;    9;  37.1;   8;    0.000;   4;   7.8;   6.0;  939.10;    0.4;   95.00;    1.2;   -0.7;    0.1;eor
       3379;20231202;   10;  10.4;   3.1;    9;   6.8;   4;    0.000;  41;   7.9;   4.6;  946.00;   -2.5;   90.00;   -0.7;   -5.5;    0.1;eor
       3379;20231203;   10;   5.7;   2.0;    9;   0.0;   0;    5.500;  42;  -999;   3.5;  960.20;   -5.1;   84.00;   -1.1;   -7.9;   -0.1;eor
       3379;20231204;   10;   5.2;   1.5;    9;   0.9;   8;    0.200;  37;  -999;   3.2;  951.60;   -6.7;   86.00;   -2.3;  -10.8;   -0.4;eor
       3379;20231205;   10;   8.8;   2.1;    9;   0.4;   6;    1.000;  31;   7.7;   5.8;  947.80;    1.8;   83.00;    6.2;   -3.0;   -0.3;eor
       3379;20231206;   10;   9.1;   3.3;    9;   0.0;   8;    0.000;  25;   7.7;   6.1;  952.70;    2.5;   83.00;    3.7;    1.1;    0.1;eor
       3379;20231207;   10;   6.2;   2.1;    9;   0.0;   0;    8.100;  18;   2.6;  -999;  957.20;    0.6;-999;    5.3;   -2.9;   -1.9;eor
       3379;20231208;   10;   5.8;   1.7;    9;   6.9;   6;    0.000;  17;   7.7;   5.2;  950.90;    0.4;   81.00;    3.5;   -3.6;   -1.7;eor
       3379;20231209;   10;  14.7;   2.4;    9;   7.2;   6;    5.300;  13;   7.1;   7.4;  949.60;    4.7;   86.00;    9.0;    2.9;    0.1;eor
       3379;20231210;   10;  16.0;   4.9;    9;   3.1;   6;    3.800;   5;   6.8;   6.6;  950.20;    6.8;   67.00;    9.1;    5.1;    0.5;eor
       3379;20231211;   10;  14.0;   4.5;    9;   0.1;   6;    0.000;   0;   6.1;   8.7;  947.60;    8.2;   80.00;   10.1;    5.8;    2.6;eor
       3379;20231212;   10;   8.8;   2.5;    9;  13.6;   6;    0.000;   0;   7.8;   9.0;  947.40;    7.5;   86.00;    9.0;    5.7;    3.2;eor
       3379;20231213;   10;   9.6;   2.7;    9;   3.9;   6;    0.300;   0;   7.8;   8.7;  941.20;    7.4;   84.00;    9.3;    5.3;    4.6;eor
       3379;20231214;   10;   8.7;   2.7;    9;   2.7;   6;    0.000;   0;   7.8;   7.8;  953.40;    5.2;   88.00;    6.4;    4.0;    3.6;eor
       3379;20231215;   10;   8.1;   2.8;    9;   0.1;   6;    0.000;   0;   7.8;   6.7;  971.30;    4.0;   83.00;    4.9;    2.5;    2.4;eor
       3379;20231216;   10;   4.0;   1.5;    9;   0.0;   0;    3.100;   0;   5.6;   6.6;  977.80;    3.7;   83.00;    7.2;    0.4;   -1.6;eor
       3379;20231217;   10;   3.8;   1.1;    9;   0.0;   0;    8.000;   0;   5.0;   5.7;  976.00;    2.2;   80.00;    8.9;   -1.6;   -3.2;eor
